,count,mean,std,min,25%,50%,75%,max
total_patients_hospitalized_confirmed_influenza_and_covid,66983.0,3.379006613618381,20.984537119303678,0.0,0.0,0.0,2.0,867.0
total_patients_hospitalized_confirmed_influenza_and_covid_coverage,81335.0,48.246806417901276,68.82325133529272,0.0,2.0,24.0,65.0,592.0
total_patients_hospitalized_confirmed_influenza_coverage,81335.0,84.49962500768427,87.82171008313892,0.0,17.0,62.0,123.0,595.0
all_pediatric_inpatient_bed_occupied,73032.0,553.4747371015445,710.4265182174408,0.0,122.0,322.0,649.0,8359.0
all_pediatric_inpatient_bed_occupied_coverage,81335.0,79.10047335095592,85.70550080691376,0.0,15.0,59.0,112.0,597.0
all_pediatric_inpatient_beds,73021.0,836.3313978170663,1018.4043167303615,0.0,171.0,509.0,984.0,8204.0
all_pediatric_inpatient_beds_coverage,81335.0,78.8133890698961,85.74476384454974,0.0,15.0,59.0,112.0,597.0
previous_day_admission_pediatric_covid_confirmed_0_4,44923.0,1.569530084811789,2.8372501235631336,0.0,0.0,1.0,2.0,43.0
previous_day_admission_pediatric_covid_confirmed_0_4_coverage,81335.0,53.534013647261325,79.56239706710868,0.0,0.0,14.0,93.0,593.0
previous_day_admission_pediatric_covid_confirmed_12_17,44293.0,0.6606009979003454,1.6980661037670126,0.0,0.0,0.0,1.0,38.0
previous_day_admission_pediatric_covid_confirmed_12_17_coverage,81335.0,50.63685990041188,77.13344126419022,0.0,0.0,13.0,87.0,591.0
previous_day_admission_pediatric_covid_confirmed_5_11,44306.0,0.5271069381122195,1.3662210966866417,0.0,0.0,0.0,1.0,101.0
previous_day_admission_pediatric_covid_confirmed_5_11_coverage,81335.0,50.78298395524682,77.39286513579394,0.0,0.0,13.0,87.0,591.0
previous_day_admission_pediatric_covid_confirmed_unknown,45039.0,0.5892004707031684,4.155321227635626,-1.0,0.0,0.0,0.0,155.0
previous_day_admission_pediatric_covid_confirmed_unknown_coverage,81335.0,52.762304051146494,79.47680798294805,0.0,0.0,13.0,93.0,595.0
staffed_icu_pediatric_patients_confirmed_covid,51186.0,2.6248583597077326,5.815015830467584,0.0,0.0,1.0,3.0,346.0
staffed_icu_pediatric_patients_confirmed_covid_coverage,81335.0,57.49260465974058,80.02652596645567,0.0,0.0,26.0,95.0,595.0
staffed_pediatric_icu_bed_occupancy,73032.0,158.42599134625917,268.53737802526473,0.0,17.0,66.0,175.0,2580.0
staffed_pediatric_icu_bed_occupancy_coverage,81335.0,78.8149751029692,85.62462321393161,0.0,15.0,59.0,112.0,597.0
total_staffed_pediatric_icu_beds,73019.0,237.3760665032389,405.3606615056149,0.0,29.0,102.0,258.0,3917.0
total_staffed_pediatric_icu_beds_coverage,81335.0,78.6786131431733,85.6471773712282,0.0,15.0,59.0,112.0,597.0
