date,actual_admissions,predicted_admissions,baseline_prediction,error,absolute_error,percentage_error
2023-12-19,4651.0,4497.158304886691,3945.0,153.84169511330856,153.84169511330856,0.0330771221486365
2023-12-20,4477.0,4640.1666685115515,4651.0,-163.1666685115515,163.1666685115515,0.036445536857617
2023-12-21,4455.0,4601.2927261931545,4477.0,-146.29272619315452,146.29272619315452,0.0328378734440302
2023-12-22,4478.0,4568.7098848130945,4455.0,-90.7098848130945,90.7098848130945,0.0202567853535271
2023-12-23,4169.0,4517.864411370621,4478.0,-348.8644113706214,348.8644113706214,0.0836805975942963
2023-12-24,4100.0,4190.680220879056,4169.0,-90.68022087905592,90.68022087905592,0.0221171270436721
2023-12-25,4226.0,4578.66718621599,4100.0,-352.6671862159901,352.6671862159901,0.0834517714661595
2023-12-26,4479.0,4879.812196516729,4226.0,-400.8121965167293,400.8121965167293,0.0894869829240297
2023-12-27,5341.0,4932.608185633941,4479.0,408.3918143660594,408.3918143660594,0.0764635488421755
2023-12-28,5759.0,5344.847026302999,5341.0,414.15297369700056,414.15297369700056,0.0719140430104185
2023-12-29,5843.0,5532.128509042062,5759.0,310.87149095793757,310.87149095793757,0.0532040888170353
2023-12-30,5604.0,5497.83723524446,5843.0,106.16276475553968,106.16276475553968,0.018944105059875
2023-12-31,4861.0,5241.321371971481,5604.0,-380.3213719714813,380.3213719714813,0.0782393277044808
2024-01-01,4854.0,5204.295503866685,4861.0,-350.29550386668507,350.29550386668507,0.0721663584397785
2024-01-02,5015.0,5531.701603541423,4854.0,-516.7016035414226,516.7016035414226,0.1030312270272029
2024-01-03,5526.0,5803.838463739097,5015.0,-277.8384637390973,277.8384637390973,0.050278404585432
2024-01-04,5299.0,5835.632692452044,5526.0,-536.6326924520436,536.6326924520436,0.1012705590586985
2024-01-05,5104.0,5460.569390155206,5299.0,-356.56939015520584,356.56939015520584,0.0698607739332299
2024-01-06,4848.0,4847.508310694682,5104.0,0.4916893053177773,0.4916893053177773,0.0001014210613279
2024-01-07,4268.0,4249.874156922243,4848.0,18.125843077757057,18.125843077757057,0.00424691730969
2024-01-08,4305.0,4229.689061994466,4268.0,75.3109380055339,75.3109380055339,0.0174938299664422
2024-01-09,4732.0,4237.465371153018,4305.0,494.53462884698183,494.53462884698183,0.1045085859778068
2024-01-10,4745.0,4614.874287950232,4732.0,130.12571204976757,130.12571204976757,0.0274237538566422
2024-01-11,4693.0,4532.946650750316,4745.0,160.0533492496843,160.0533492496843,0.0341046983272287
2024-01-12,4619.0,4418.594219699036,4693.0,200.40578030096367,200.40578030096367,0.0433872657070715
2024-01-13,4168.0,4192.7381429558045,4619.0,-24.738142955804506,24.738142955804506,0.0059352550277841
2024-01-14,3662.0,3627.8718194397184,4168.0,34.128180560281635,34.128180560281635,0.0093195468487934
2024-01-15,3525.0,3767.922027006415,3662.0,-242.9220270064152,242.9220270064152,0.0689140502145858
2024-01-16,3937.0,3866.322013057293,3525.0,70.67798694270687,70.67798694270687,0.0179522445879367
2024-01-17,3865.0,4059.103633492239,3937.0,-194.10363349223917,194.10363349223917,0.0502208624818212
2024-01-18,3914.0,3857.656088322398,3865.0,56.34391167760214,56.34391167760214,0.0143954807556469
2024-01-19,3727.0,3632.2401546720407,3914.0,94.75984532795928,94.75984532795928,0.02542523351971
2024-01-20,3521.0,3246.590202265808,3727.0,274.4097977341921,274.4097977341921,0.0779351882232866
2024-01-21,3019.0,2820.1188281946756,3521.0,198.88117180532436,198.88117180532436,0.0658765060633734
2024-01-22,3039.0,2939.444070664813,3019.0,99.5559293351871,99.5559293351871,0.0327594370961458
2024-01-23,3570.0,3271.895988386594,3039.0,298.1040116134059,298.1040116134059,0.0835025242614582
2024-01-24,3661.0,3434.72016413689,3570.0,226.27983586310984,226.27983586310984,0.0618082042783692
2024-01-25,3600.0,3478.611012940479,3661.0,121.3889870595208,121.3889870595208,0.0337191630720891
2024-01-26,3429.0,3388.5569144907963,3600.0,40.44308550920368,40.44308550920368,0.0117944256369797
2024-01-27,3295.0,3135.0817525328566,3429.0,159.91824746714337,159.91824746714337,0.0485336107639281
2024-01-28,2931.0,2772.381427132236,3295.0,158.6185728677642,158.6185728677642,0.0541175615379611
2024-01-29,2856.0,2940.6338540615975,2931.0,-84.6338540615975,84.6338540615975,0.0296337024025201
2024-01-30,3269.0,3252.017696879888,2856.0,16.982303120112192,16.982303120112192,0.0051949535393429
2024-01-31,3186.0,3296.814758921867,3269.0,-110.814758921867,110.814758921867,0.0347817824613518
2024-02-01,3181.0,3205.19640852134,3186.0,-24.19640852133989,24.19640852133989,0.0076065415030933
2024-02-02,3160.0,3025.747642474724,3181.0,134.25235752527578,134.25235752527578,0.0424849232674923
2024-02-03,2963.0,2835.2758519712556,3160.0,127.72414802874437,127.72414802874437,0.043106361130187
2024-02-04,2674.0,2438.513686457169,2963.0,235.48631354283089,235.48631354283089,0.0880651883107071
2024-02-05,2731.0,2586.289422559769,2674.0,144.7105774402312,144.7105774402312,0.0529881279532153
2024-02-06,3135.0,2921.9328541189257,2731.0,213.0671458810743,213.0671458810743,0.0679640018759407
2024-02-07,3055.0,3024.774759102727,3135.0,30.225240897273125,30.225240897273125,0.0098936958747211
2024-02-08,2924.0,2959.112766064376,3055.0,-35.112766064376046,35.112766064376046,0.0120084699262571
2024-02-09,2968.0,2834.713767642272,2924.0,133.28623235772784,133.28623235772784,0.0449077602283449
2024-02-10,2916.0,2713.555473590859,2968.0,202.44452640914096,202.44452640914096,0.0694254205792664
2024-02-11,2549.0,2454.2153022655702,2916.0,94.78469773442976,94.78469773442976,0.0371850520731383
2024-02-12,2660.0,2602.3066966852484,2549.0,57.693303314751574,57.693303314751574,0.0216892117724629
2024-02-13,3174.0,2929.498698705342,2660.0,244.50130129465788,244.50130129465788,0.0770325460915746
2024-02-14,2831.0,2961.247150877927,3174.0,-130.2471508779272,130.2471508779272,0.0460074711684659
2024-02-15,2839.0,2791.489949728265,2831.0,47.510050271735054,47.510050271735054,0.0167347834701426
2024-02-16,2791.0,2769.85053287368,2839.0,21.149467126319905,21.149467126319905,0.007577738131967
2024-02-17,2737.0,2617.1374795728843,2791.0,119.86252042711568,119.86252042711568,0.0437933943833086
2024-02-18,2357.0,2323.3510812868462,2737.0,33.64891871315376,33.64891871315376,0.0142761640700694
2024-02-19,2495.0,2516.873170443685,2357.0,-21.873170443685012,21.873170443685012,0.008766801781036
2024-02-20,2815.0,2789.9381395468463,2495.0,25.061860453153713,25.061860453153713,0.0089029699655963
2024-02-21,2695.0,2668.7343592930333,2815.0,26.26564070696668,26.26564070696668,0.0097460633421026
2024-02-22,2597.0,2542.1824083987444,2695.0,54.81759160125557,54.81759160125557,0.0211080445133829
2024-02-23,2609.0,2459.1830479262253,2597.0,149.8169520737747,149.8169520737747,0.0574231322628496
2024-02-24,2422.0,2357.2540076411715,2609.0,64.74599235882852,64.74599235882852,0.0267324493636781
2024-02-25,2141.0,2012.956793637713,2422.0,128.04320636228704,128.04320636228704,0.0598053275863087
2024-02-26,2216.0,2261.0695046993974,2141.0,-45.069504699397385,45.069504699397385,0.0203382241423273
2024-02-27,2430.0,2523.4050081748787,2216.0,-93.40500817487872,93.40500817487872,0.0384382749690858
2024-02-28,2471.0,2373.7476164751683,2430.0,97.25238352483166,97.25238352483166,0.0393575004147436
2024-02-29,2293.0,2285.4154007455695,2471.0,7.584599254430486,7.584599254430486,0.0033077188200743
2024-03-01,2186.0,2177.882191494083,2293.0,8.117808505916855,8.117808505916855,0.0037135446047195
2024-03-02,2082.0,2001.855742333512,2186.0,80.1442576664881,80.1442576664881,0.0384938797629625
2024-03-03,1991.0,1715.3052647483876,2082.0,275.6947352516124,275.6947352516124,0.1384704848074397
2024-03-04,1967.0,2021.6564989956796,1991.0,-54.65649899567961,54.65649899567961,0.0277867305519469
2024-03-05,2160.0,2173.6076165684203,1967.0,-13.607616568420326,13.607616568420326,0.0062998224853797
2024-03-06,2059.0,2125.200909709009,2160.0,-66.20090970900901,66.20090970900901,0.0321519716896595
2024-03-07,2004.0,1944.3598308842263,2059.0,59.64016911577369,59.64016911577369,0.0297605634310247
2024-03-08,1911.0,1865.9122090167,2004.0,45.08779098330001,45.08779098330001,0.0235938205040816
2024-03-09,1708.0,1718.3941576244622,1911.0,-10.394157624462196,10.394157624462196,0.0060855723796617
2024-03-10,1542.0,1496.2627964655703,1708.0,45.73720353442968,45.73720353442968,0.0296609620845847
2024-03-11,1464.0,1685.8087406267418,1542.0,-221.80874062674184,221.80874062674184,0.1515087026138947
2024-03-12,1761.0,1751.3351747794582,1464.0,9.664825220541845,9.664825220541845,0.0054882596368778
2024-03-13,1646.0,1753.3933095557072,1761.0,-107.39330955570722,107.39330955570722,0.0652450240314138
2024-03-14,1600.0,1576.014503511674,1646.0,23.985496488325907,23.985496488325907,0.0149909353052036
2024-03-15,1558.0,1419.57557186337,1600.0,138.42442813663,138.42442813663,0.0888475148502118
2024-03-16,1518.0,1266.028996569327,1558.0,251.9710034306729,251.9710034306729,0.1659888033140137
2024-03-17,1328.0,1163.1085610223222,1518.0,164.8914389776778,164.8914389776778,0.1241652401940344
2024-03-18,1307.0,1361.254049796758,1328.0,-54.254049796757954,54.254049796757954,0.041510367097749
2024-03-19,1489.0,1516.9911726381342,1307.0,-27.99117263813423,27.99117263813423,0.0187986384406542
2024-03-20,1457.0,1472.1632935275,1489.0,-15.163293527499944,15.163293527499944,0.0104072021465339
2024-03-21,1389.0,1414.439838880417,1457.0,-25.439838880417028,25.439838880417028,0.0183152187763981
2024-03-22,1342.0,1325.6316913101468,1389.0,16.368308689853166,16.368308689853166,0.0121969513337206
2024-03-23,1290.0,1184.6201271147436,1342.0,105.37987288525642,105.37987288525642,0.0816898239420592
2024-03-24,1086.0,1017.52334937785,1290.0,68.47665062215003,68.47665062215003,0.063054006097744
2024-03-25,1110.0,1175.3644254715932,1086.0,-65.36442547159322,65.36442547159322,0.0588868697942281
2024-03-26,1334.0,1322.7340349386775,1110.0,11.265965061322504,11.265965061322504,0.0084452511704066
2024-03-27,1200.0,1284.8086781065856,1334.0,-84.8086781065856,84.8086781065856,0.0706738984221546
2024-03-28,1215.0,1168.5650139689778,1200.0,46.43498603102216,46.43498603102216,0.0382180954987836
