date,total_admissions,total_deaths,avg_icu_utilization,avg_bed_occupancy,year,month,day_of_week,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2021-08-03,9413.0,553.0,0.7084938153942003,0.7225107780334544,2021,8,1,0,7877.0,6832.0,4740.0,7854.714285714285,6715.5,789.0914003429909
2021-08-04,9484.0,579.0,0.7166349703032209,0.7350254148750692,2021,8,2,0,9413.0,7057.0,4768.0,8201.42857142857,7052.357142857143,904.8701301186691
2021-08-05,9825.0,614.0,0.7195198996158444,0.7339977228492859,2021,8,3,0,9484.0,7212.0,5267.0,8574.714285714286,7377.928571428572,965.6051149902137
2021-08-06,10216.0,641.0,0.7205470251262254,0.7292952310329301,2021,8,4,0,9825.0,7984.0,5386.0,8893.57142857143,7722.928571428572,1097.5385881056663
2021-08-07,10187.0,747.0,0.7135440759648604,0.7138039672587391,2021,8,5,1,10216.0,8040.0,5580.0,9200.285714285714,8052.0,1119.0325753801512
2021-08-08,9803.0,707.0,0.6992285586674509,0.70346863625398,2021,8,6,1,10187.0,7400.0,5364.0,9543.57142857143,8369.07142857143,796.944552053435
2021-08-09,10112.0,795.0,0.708812866431354,0.7087130467599823,2021,8,0,0,9803.0,7877.0,5837.0,9862.857142857143,8674.42857142857,327.30486734924875
2021-08-10,11536.0,835.0,0.7321833932907779,0.7334632087031094,2021,8,1,0,10112.0,9413.0,6832.0,10166.142857142857,9010.42857142857,657.7652642525135
2021-08-11,11690.0,890.0,0.738876569100713,0.7423967527834429,2021,8,2,0,11536.0,9484.0,7057.0,10481.285714285714,9341.357142857143,791.3645839699574
2021-08-12,11985.0,945.0,0.7424142689555192,0.7430072877270912,2021,8,3,0,11690.0,9825.0,7212.0,10789.857142857143,9682.285714285714,905.674597297792
2021-08-13,11972.0,939.0,0.7382108854024585,0.7393132035013551,2021,8,4,0,11985.0,10216.0,7984.0,11040.714285714286,9967.142857142857,961.6932487867159
2021-08-14,11741.0,1035.0,0.7258390815653419,0.7195019543626474,2021,8,5,1,11972.0,10187.0,8040.0,11262.714285714286,10231.5,909.7350739429309
2021-08-15,10686.0,997.0,0.7203114679249748,0.7095796767717361,2021,8,6,1,11741.0,9803.0,7400.0,11388.857142857143,10466.214285714286,713.6942455915713
2021-08-16,11138.0,1027.0,0.7276713044723611,0.7134121473549532,2021,8,0,0,10686.0,10112.0,7877.0,11535.42857142857,10699.142857142857,472.28870307013074
